,Temperature,ghi,dni,dhi,Wind Speed
2020-01-01 00:00:00,12.6,0,0,0,1.6
2020-01-01 01:00:00,12.3,0,0,0,1.6
2020-01-01 02:00:00,12.1,0,0,0,1.8
2020-01-01 03:00:00,12.1,0,0,0,2.1
2020-01-01 04:00:00,12.1,0,0,0,2.2
2020-01-01 05:00:00,16.0,0,0,0,1.1
2020-01-01 06:00:00,18.4,103,361,49,1.5
2020-01-01 07:00:00,20.700000000000003,291,605,88,2.1
2020-01-01 08:00:00,22.3,461,722,111,2.3000000000000003
2020-01-01 09:00:00,23.6,585,782,123,2.1
2020-01-01 10:00:00,24.4,654,828,120,1.9
2020-01-01 11:00:00,24.9,660,866,104,1.7000000000000002
2020-01-01 12:00:00,25.1,591,842,99,1.4
2020-01-01 13:00:00,24.8,461,783,88,1.0
2020-01-01 14:00:00,23.700000000000003,286,664,72,0.7000000000000001
2020-01-01 15:00:00,22.200000000000003,85,300,44,0.6000000000000001
2020-01-01 16:00:00,21.0,0,0,0,0.7000000000000001
2020-01-01 17:00:00,19.700000000000003,0,0,0,0.9
2020-01-01 18:00:00,18.7,0,0,0,1.1
2020-01-01 19:00:00,18.2,0,0,0,1.2000000000000002
2020-01-01 20:00:00,18.0,0,0,0,1.2000000000000002
2020-01-01 21:00:00,17.8,0,0,0,1.2000000000000002
2020-01-01 22:00:00,17.5,0,0,0,1.2000000000000002
2020-01-01 23:00:00,17.3,0,0,0,1.2000000000000002
2020-01-02 00:00:00,17.1,0,0,0,1.3
2020-01-02 01:00:00,17.0,0,0,0,1.5
2020-01-02 02:00:00,16.900000000000002,0,0,0,1.6
2020-01-02 03:00:00,16.7,0,0,0,1.7000000000000002
2020-01-02 04:00:00,16.6,0,0,0,1.7000000000000002
2020-01-02 05:00:00,16.8,0,0,0,1.7000000000000002
2020-01-02 06:00:00,17.6,92,271,51,1.7000000000000002
2020-01-02 07:00:00,18.8,257,453,105,1.9
2020-01-02 08:00:00,19.8,408,516,158,2.3000000000000003
2020-01-02 09:00:00,20.9,579,773,122,2.7
2020-01-02 10:00:00,22.0,644,794,132,3.0
